Montevideo;Montevideo;Uruguay;1,720,000
San Salvador;San Salvador;El Salvador;1,710,000
Santa Cruz;Santa Cruz;Bolivia;1,710,000
Santos;Santos;Brazil;1,710,000
Semarang;Semarang;Indonesia;1,710,000
Ouagadougou;Ouagadougou;Burkina Faso;1,700,000
Conakry;Conakry;Guinea;1,690,000
Nižnij Novgorod;Nizhniy Novgorod;Russia;1,690,000
Salt Lake City;Salt Lake City;United States of America;1,690,000
Visākhapatnam;Vishakhapatnam;India;1,690,000
Asansol;Asansol;India;1,680,000
Meerut;Meerut;India;1,680,000
Nāshik;Nasik;India;1,680,000
Bhubaneswar;Bhubaneswar;India;1,670,000
Kaduna;Kaduna;Nigeria;1,670,000
Perth;Perth;Australia;1,660,000
Valencia;Valencia;Spain;1,660,000
Virginia Beach;Virginia Beach;United States of America;1,660,000
Raleigh;Raleigh;United States of America;1,650,000
Xuzhou;Xuzhou;China;1,650,000
León;León;Mexico;1,640,000
Kumasi;Kumasi;Ghana;1,630,000
Bursa;Bursa;Turkey;1,620,000
Chandīgarh;Chandigarh;India;1,620,000
Peshāwar;Peshawar;Pakistan;1,610,000
Quito;Quito;Ecuador;1,610,000
Torino;Turin;Italy;1,610,000
Beograd;Belgrade;Serbia;1,590,000
Nashville;Nashville;United States of America;1,590,000
Providence;Providence;United States of America;1,590,000
Kitakyūshū;Kitakyushu;Japan;1,580,000
Lubumbashi;Lubumbashi;Congo (Dem. Rep.);1,570,000
Makkah;Mecca;Saudi Arabia;1,570,000
Ghazzah;Gaza;Palestinian Territories;1,560,000
Jekaterinburg;Yekaterinburg;Russia;1,560,000
Dubayy;Dubai;United Arab Emirates;1,550,000
Luoyang;Luoyang;China;1,550,000
Qiqihar;Qiqihar;China;1,550,000
Sendai;Sendai;Japan;1,550,000
Yantai;Yantai;China;1,550,000
Gwangju;Kwangju;Korea (South);1,520,000
Kolhāpur;Kolhapur;India;1,520,000
Lomé;Lomé;Togo;1,520,000
Mbuji-Mayi;Mbuji-Mayi;Congo (Dem. Rep.);1,520,000
Vārānasi;Benares;India;1,520,000
Al-Mawṣil;Mosul;Iraq;1,510,000
Tabrīz;Tabriz;Iran;1,510,000
Taizhou;Taizhou;China;1,510,000
Daejeon;Taejon;Korea (South);1,500,000
Liuzhou;Liuzhou;China;1,500,000
Muqdisho;Mogadishu;Somalia;1,500,000
Novosibirsk;Novosibirsk;Russia;1,500,000
Buffalo;Buffalo;United States of America;1,490,000
Khulna;Khulna;Bangladesh;1,490,000
Rotterdam;Rotterdam;Netherlands;1,490,000
Weifang;Weifang;China;1,490,000
Ciudad Juárez;Ciudad Juárez;Mexico;1,480,000
Phnum Pénh;Phnom Penh;Cambodia;1,480,000
Huainan;Huainan;China;1,470,000
Kāṭhmānḍau;Kathmandu;Nepal;1,470,000
Yangzhou;Yangzhou;China;1,470,000
Adana;Adana;Turkey;1,460,000
Lyon;Lyon;France;1,460,000
Marseille;Marseille;France;1,460,000
Xiangfan;Xiangfan;China;1,460,000
San José;San José;Costa Rica;1,450,000
Davao;Davao;Philippines;1,440,000
's-Gravenhage;The Hague;Netherlands;1,440,000
Zhuhai;Zhuhai;China;1,440,000
Brazzaville;Brazzaville;Congo (Rep.);1,430,000
Córdoba;Córdoba;Argentina;1,420,000
Glasgow;Glasgow;Great Britain;1,420,000
Jamshedpur;Jamshedpur;India;1,420,000
Okayama;Okayama;Japan;1,420,000
Rājkot;Rajkot;India;1,420,000
København;Copenhagen;Denmark;1,410,000
Bayrūt;Beirut;Lebanon;1,400,000
Linyi;Linyi;China;1,400,000
Ciudad de Panamá;Panama City;Panama;1,380,000
Madurai;Madurai;India;1,380,000
Samara;Samara;Russia;1,380,000
Dnipropėtrovs'k;Dnepropetrovsk;Ukraine;1,370,000
Louisville;Louisville;United States of America;1,370,000
Praha;Prague;Czech Republic;1,370,000
Jabalpur;Jabalpur;India;1,360,000
Amritsar;Amritsar;India;1,350,000
Dhanbād;Dhanbad;India;1,350,000
Makasar;Makasar;Indonesia;1,350,000
Auckland;Auckland;New Zealand;1,340,000
Greensboro;Greensboro;United States of America;1,340,000
Liverpool;Liverpool;Great Britain;1,340,000
Volgograd;Volgograd;Russia;1,340,000
Čel'abinsk;Chelyabinsk;Russia;1,330,000
Daqing;Daqing;China;1,330,000
Jacksonville;Jacksonville;United States of America;1,330,000
Sevilla;Sevilla;Spain;1,330,000
Shīrāz;Shiraz;Iran;1,320,000
Almaty;Alma-Ata;Kazakhstan;1,310,000
São Luís;Sao Luis;Brazil;1,310,000
Sheffield;Sheffield;Great Britain;1,310,000
Memphis;Memphis;United States of America;1,300,000
Allahābād;Allahabad;India;1,280,000
Gaziantep;Gaziantep;Turkey;1,280,000
Rosario;Rosario;Argentina;1,280,000
Rostov-na-Donu;Rostov-na-Donu;Russia;1,280,000
Hohhot;Huhehot;China;1,270,000
Tainan;Tainan;Taiwan (Rep. of China);1,270,000
Vijayawāda;Vijayawada;India;1,270,000
Natal;Natal;Brazil;1,260,000
Oran;Oran;Algeria;1,260,000
Sofija;Sofia;Bulgaria;1,260,000
Datong;Datong;China;1,250,000
Haikou;Haikou;China;1,250,000
Mannheim;Mannheim;Germany;1,250,000
Richmond;Richmond;United States of America;1,250,000
Shambajinagar;Aurangabad;India;1,250,000
Benin City;Benin City;Nigeria;1,240,000
Cixi;Cixi;China;1,240,000
Lille;Lille;France;1,240,000
Oklahoma City;Oklahoma City;United States of America;1,230,000
Port Harcourt;Port Harcourt;Nigeria;1,230,000
Porto;Porto;Portugal;1,230,000
Srīnagar;Srinagar;India;1,230,000
Tbilisi;Tbilisi;Georgia;1,230,000
Torreón;Torreón;Mexico;1,230,000
Düsseldorf;Dusseldorf;Germany;1,220,000
Maracay;Maracay;Venezuela;1,220,000
Yerevan;Yerevan;Armenia;1,220,000
Calgary;Calgary;Canada;1,210,000
Grand Rapids;Grand Rapids;United States of America;1,210,000
Ṭarābulus;Tripoli;Libya;1,210,000
Freetown;Freetown;Sierra Leone;1,200,000
Maceió;Maceio;Brazil;1,200,000
Mudanjiang;Mudanjiang;China;1,200,000
Ottawa;Ottawa;Canada;1,200,000
Adelaide;Adelaide;Australia;1,190,000
Barquisimeto;Barquisimeto;Venezuela;1,190,000
Hartford;Hartford;United States of America;1,190,000
New Orleans;New Orleans;United States of America;1,190,000
Managua;Managua;Nicaragua;1,170,000
Solāpur;Sholapur;India;1,170,000
Rānchi;Ranchi;India;1,160,000
Zürich;Zurich;Switzerland;1,160,000
Cartagena;Cartagena;Colombia;1,150,000
Cotonou;Cotonou;Benin;1,150,000
Al-Madīnah;Medina;Saudi Arabia;1,140,000
Edmonton;Edmonton;Canada;1,140,000
Hamamatsu;Hamamatsu;Japan;1,140,000
Naha;Naha;Japan;1,140,000
Omsk;Omsk;Russia;1,140,000
Ulsan;Ulsan;Korea (South);1,140,000
Birmingham;Birmingham;United States of America;1,130,000
Himeji;Himeji;Japan;1,130,000
Johor Bahru;Johor Bahru;Malaysia;1,130,000
Kazan';Kazan;Russia;1,130,000
Ash-Shāriqah;Ash-Shariqah;United Arab Emirates;1,120,000
Joinville;Joinville;Brazil;1,120,000
Thiruvananthapuram;Trivandrum;India;1,120,000
Yiwu;Yiwu;China;1,120,000
Fès;Fes;Morocco;1,110,000
Greenville;Greenville;United States of America;1,110,000
Helsinki;Helsinki;Finland;1,110,000
Kumamoto;Kumamoto;Japan;1,110,000
Tai'an;Tai'an;China;1,110,000
Yancheng;Yancheng;China;1,110,000
Zhanjiang;Zhanjiang;China;1,110,000
Maiduguri;Maiduguri;Nigeria;1,100,000
Newcastle upon Tyne;Newcastle upon Tyne;Great Britain;1,100,000
Valparaíso;Valparaíso;Chile;1,100,000
Dublin;Dublin;Ireland;1,090,000
Guwāhāti;Gauhati;India;1,090,000
Jodhpur;Jodhpur;India;1,090,000
Odėsa;Odessa;Ukraine;1,090,000
Ulaanbaatar;Ulan Bator;Mongolia;1,090,000
Bucaramanga;Bucaramanga;Colombia;1,080,000
Fresno;Fresno;United States of America;1,080,000
Jixi;Jixi;China;1,080,000
João Pessoa;Joao Pessoa;Brazil;1,080,000
Monrovia;Monrovia;Liberia;1,080,000
Ahvāz;Ahvaz;Iran;1,070,000
Baoding;Baoding;China;1,070,000
Port Elizabeth;Port Elizabeth;South Africa;1,070,000
San Luis Potosí;San Luis Potosí;Mexico;1,070,000
Irbīl;Arbil;Iraq;1,060,000
Perm';Perm;Russia;1,060,000
Pingdingshan;Pingdingshan;China;1,060,000
Querétaro;Querétaro;Mexico;1,060,000
Saratov;Saratov;Russia;1,060,000
Tucson;Tucson;United States of America;1,060,000
Ufa;Ufa;Russia;1,060,000
Ḥimṣ;Homs;Syria;1,050,000
Nürnberg;Nuremberg;Germany;1,050,000
Qom;Qom;Iran;1,050,000
Tiruchirāppalli;Tiruchirappalli;India;1,050,000
Xining;Xining;China;1,050,000
Zaozhuang;Zaozhuang;China;1,050,000
Gwalior;Gwalior;India;1,040,000
Jining;Jining;China;1,040,000
Krasnojarsk;Krasnoyarsk;Russia;1,040,000
Rochester;Rochester;United States of America;1,040,000
Yichang;Yichang;China;1,040,000
Mandalay;Mandalay;Myanmar;1,030,000
Zaria;Zaria;Nigeria;1,030,000
Zhangjiakou;Zhangjiakou;China;1,030,000
Cochabamba;Cochabamba;Bolivia;1,020,000
Florianópolis;Florianopolis;Brazil;1,020,000
George Town;George Town;Malaysia;1,020,000
Ndjamena;Ndjamena;Chad;1,020,000
Yueyang;Yueyang;China;1,020,000
Guilin;Guilin;China;1,010,000
Kozhikode;Calicut;India;1,010,000
Shaoxing;Shaoxing;China;1,010,000
Zhuzhou;Zhuzhou;China;1,010,000
Al-Baṣrah;Basra;Iraq;1,000,000
Huai'an;Huai'an;China;1,000,000
Mérida;Mérida;Mexico;1,000,000
Tegucigalpa;Tegucigalpa;Honduras;1,000,000
